sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
2036,768,1156,62,2340,7803,894,39603,113021,360172,2600,4304,22284,7197.8
774,1040,637,18,2508,8240,1745,13951,29475,52109,2729,14771,20151,7340.5
3645,1328,870,116,2276,6959,826,33519,25288,260444,1328,16803,22273,7025.76
2030,1627,1004,107,1568,9223,351,35789,23660,263491,2515,18385,19738,7596.73
2878,671,1864,86,1135,14254,1020,43416,78009,363854,3318,15888,7002,7388.5
3146,1021,535,84,2434,15729,523,97041,35032,363073,956,5877,26085,7557.62
732,538,1153,80,2744,14797,1870,104127,124720,178160,918,10265,29364,7543.28
3274,329,1860,8,2046,9172,611,30528,109232,14115,3787,18004,27883,7437.62
2967,1563,1097,115,1857,12784,933,109412,60293,135531,2634,15219,30687,7897.49
1725,1766,1945,70,2550,3867,950,63128,94625,464599,2226,3643,23888,7181.63
3354,649,841,69,2000,2142,385,57824,110404,393219,821,7373,21359,7577.69
4069,1602,771,122,1378,10072,367,108987,123745,223619,3365,7134,19888,7154.14
1158,501,241,82,1963,12914,381,85596,94976,514319,467,3889,20226,7571.66
3651,1644,1477,62,1111,10667,993,30438,114631,43959,1800,10367,31076,7181.36
941,1070,2005,99,2677,8715,765,100735,33364,438395,1654,16093,14274,6723.25
2490,436,519,95,2756,10887,1070,12377,14894,313489,2222,6508,21791,8123
2165,683,764,19,2680,15163,823,106244,12230,413999,1201,9391,10765,7390.85
568,1180,1115,121,2538,8016,805,117042,70995,420914,143,16391,15313,7270.18
1783,132,1976,43,2050,9415,1732,126342,105370,252538,1318,20177,4145,7343.13
849,690,376,38,2711,2828,573,50486,104778,214933,2993,18372,16279,6657.14
2287,851,814,21,2316,7478,379,26194,115858,283424,1936,17845,16931,6948.06
1364,1312,1118,79,3050,3076,1424,18095,29401,309270,1824,3954,17588,7509.65
322,189,1738,39,2240,14406,1750,80673,126510,423418,2241,19781,5005,6556.52
2026,179,523,21,2387,13387,1108,118922,79180,325530,3732,11474,23532,7054.55
1442,1712,1653,113,1996,11158,345,60692,14413,352800,3709,10743,30414,7813.67
3178,1318,1318,20,1169,11697,369,130549,68848,100029,3562,11556,27814,7543.59
3086,1500,527,19,2363,11990,1829,125974,127319,390511,2786,15227,30207,7829.88
3620,690,1186,101,1367,3202,1685,57077,69107,113096,1484,10933,29801,7367.35
1288,1008,1047,56,1333,12842,48,130198,125110,456855,2733,17430,25488,7266.94
294,1671,1183,50,1584,15736,914,20827,106693,290494,1563,3377,19698,7042.63
657,1234,1258,101,1896,14578,52,67756,41202,431430,3032,20429,22908,7309.76
2874,2004,1379,117,1853,8089,1456,77293,38508,413713,3059,14381,14525,7566.1
1325,1603,203,48,3062,3398,680,128654,92808,480791,3926,19918,16685,7195.03
685,324,1752,22,2201,8515,1697,16674,86374,201541,1524,5752,28692,7572.1
3959,1957,1141,96,1251,11106,990,30309,10291,109964,1207,18599,9125,7292.9
1300,451,1626,38,2645,14493,121,122430,44874,407395,912,11278,22516,7073.06
1458,898,982,51,2848,2821,1676,72286,15845,97191,664,5661,13428,7460.1
3871,239,185,114,2389,2594,782,29635,39862,364052,1123,7029,13306,7865.86
