num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
13,7,53,12,18,6,17,5,60,65,lz4,1,21.35,0.046838407
6,3,5,9,18,11,16,35,44,34,lz4,1,29.77,0.033590863
6,21,69,12,7,2,21,48,50,71,lz4,1,26.89,0.037188546
6,19,55,2,4,1,21,43,4,84,lz4,1,14.35,0.069686411
12,18,65,8,17,2,10,22,4,13,lz4,1,14.95,0.066889632
17,16,100,8,9,16,20,27,41,29,none,1,30.33,0.032970656
13,18,3,13,1,7,11,18,12,60,snappy,1,14.82,0.067476383
17,12,43,2,9,1,13,11,16,89,none,1,29.75,0.033613445
16,19,18,20,8,20,11,17,38,28,gzip,1,12.46,0.080256822
6,2,79,6,19,1,15,20,1,52,gzip,1,14.37,0.069589422
4,24,85,20,6,16,10,4,2,7,lz4,1,13.66,0.073206442
12,20,85,10,11,8,30,48,30,22,snappy,1,29.79,0.033568312
2,13,98,2,15,15,19,2,1,79,gzip,1,11.44,0.087412587
18,4,51,6,5,2,7,33,21,7,none,1,26.08,0.038343558
9,8,74,13,16,19,5,23,2,40,lz4,1,13.85,0.072202166
6,11,56,11,7,6,10,21,35,50,none,1,30.73,0.03254149
12,11,27,7,15,6,6,17,45,76,none,1,26.99,0.03705076
3,11,16,15,15,18,11,29,22,74,gzip,1,10.9,0.091743119
15,18,3,8,7,6,13,3,56,75,gzip,1,14.77,0.067704807
8,22,32,12,18,14,13,40,3,33,gzip,1,16.33,0.061236987
15,23,91,18,19,5,15,39,13,52,snappy,1,27.38,0.036523009
18,15,24,17,7,4,5,31,55,69,gzip,1,14.16,0.070621469
8,14,14,2,10,1,29,24,40,23,gzip,1,11.04,0.09057971
4,2,20,6,1,12,16,34,38,1,lz4,1,14.92,0.067024129
8,8,53,19,17,8,22,27,52,23,none,1,30.52,0.0327654
14,14,85,13,18,9,15,15,29,24,none,1,28.62,0.034940601
16,1,86,17,4,10,12,43,53,100,gzip,1,13.44,0.074404762
7,1,38,10,14,19,13,16,61,49,none,1,26.06,0.038372985
5,17,19,20,6,19,4,2,1,4,gzip,1,16.16,0.061881188
5,1,68,12,14,5,15,41,24,94,none,1,30.81,0.032456994
8,2,40,8,7,1,22,41,58,45,none,1,28.16,0.035511364
18,20,12,4,20,3,26,16,27,38,gzip,1,15.2,0.065789474
5,12,58,9,19,7,5,10,7,26,snappy,1,20.42,0.048971596
8,24,85,12,6,15,3,41,1,87,gzip,1,14,0.071428571
