XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
256,64,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,250,100,50,TRUE,30000,FALSE,1024,8354.218881
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,500,50,500,10,100,TRUE,30000,TRUE,1024,6844.002373
256,64,512,org.apache.coyote.http11.Http11Protocol,4096,1000,25,500,50,50,TRUE,30000,TRUE,1024,8101.976882
64,128,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,250,10,200,TRUE,20000,TRUE,2048,6853.383287
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,100,250,10,100,FALSE,30000,TRUE,2048,6810.751907
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,100,250,50,50,TRUE,20000,TRUE,2048,7441.952768
256,128,512,org.apache.coyote.http11.Http11Protocol,16384,500,25,250,50,100,FALSE,10000,TRUE,1024,7627.377199
128,64,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,75,50,50,TRUE,20000,FALSE,1024,7040.600798
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,500,10,50,FALSE,10000,FALSE,1024,8238.589553
128,256,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,250,100,200,FALSE,30000,TRUE,1024,7486.524256
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,500,25,500,100,100,TRUE,20000,FALSE,2048,7039.279178
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,500,100,200,TRUE,20000,FALSE,1024,7979.572295
128,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,500,50,100,TRUE,30000,FALSE,2048,7304.957631
256,64,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,50,250,10,50,FALSE,30000,TRUE,2048,8335.648791
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,25,250,100,200,FALSE,20000,TRUE,1024,7169.486665
128,256,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,50,500,10,200,TRUE,10000,TRUE,1024,7563.533683
64,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,75,10,200,FALSE,20000,TRUE,1024,8570.938803
128,64,256,org.apache.coyote.http11.Http11Protocol,8192,200,25,75,50,50,TRUE,30000,FALSE,2048,7054.507831
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,500,100,200,FALSE,30000,FALSE,2048,7516.53638
128,64,256,org.apache.coyote.http11.Http11Protocol,4096,200,25,75,10,200,FALSE,10000,FALSE,1024,6026.516673
64,128,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,75,100,200,TRUE,20000,FALSE,2048,7199.424046
256,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,250,100,200,TRUE,10000,FALSE,2048,7836.581161
64,64,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,10,100,TRUE,30000,TRUE,1024,7818.200771
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,100,250,10,50,FALSE,20000,TRUE,2048,7780.48654
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,200,100,75,10,50,FALSE,30000,FALSE,2048,7495.128167
64,128,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,250,100,100,FALSE,20000,TRUE,2048,8739.221627
128,64,256,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,75,100,50,TRUE,20000,FALSE,1024,7827.175955
128,256,256,org.apache.coyote.http11.Http11Protocol,8192,500,50,250,10,200,TRUE,10000,TRUE,1024,5629.574029
