innodb_log_buffer_size,innodb_additional_mem_pool_size,max_allowed_packet numeric,innodb_buffer_pool_size,thread_cache_size,max_connect_errors,tmp_table_size,join_buffer_size,max_heap_table_size,innodb_autoextend_increment,table_open_cache,query_cache_limit,sort_buffer_size,QPS
16705,15409,14921,2492,12,680,47807,1778,55557,300914,383,1650,2057,778800
17442,9874,6081,4626,48,1157,84625,358,81816,238754,1192,1805,1927,762140
17658,1347,15741,2983,17,1311,66836,1024,63409,187698,238,1773,3235,810900
18909,7218,11606,6338,105,1971,43073,859,26144,96940,1916,1808,287,710460
19676,8162,12770,7506,26,1581,59301,1399,27734,451957,1457,1924,635,756560
19976,4606,13123,5690,48,181,35409,1099,124751,251738,792,1018,1364,727240
20929,12731,12023,1128,134,2006,57423,1680,128367,311841,2035,1674,1542,795220
21398,6224,5071,256,21,567,53480,228,19839,158878,769,1079,2818,778780
22039,4300,8171,5533,97,1790,89588,1865,2373,262241,1582,1877,2211,780940
22653,1538,8606,3921,76,1709,86583,264,97412,158860,239,1569,2984,738480
23471,2350,3168,977,34,868,30167,1159,16281,323547,376,1358,2909,838760
24725,7801,9352,677,56,1499,63741,1609,113406,211580,1397,1961,913,810060
24844,12133,7223,7782,128,133,34218,1980,70580,42025,1605,1487,2466,735660
25759,19214,4058,4773,74,1466,81981,970,77482,275962,1641,1342,411,751260
26315,10453,14973,2304,30,1552,108401,565,89452,415909,1106,1848,2501,819820
27229,11691,5251,8002,32,289,12832,1636,95271,75673,687,1947,739,820640
28039,8517,10657,3704,24,1922,100836,1862,53234,506098,1778,1737,3558,727820
28755,5552,14415,565,88,511,123835,825,47313,338876,860,1953,2354,778640
29550,19824,15436,1361,144,425,127588,1971,107008,47263,1676,1878,1134,784300
30279,18402,11296,4463,69,1180,13943,615,34396,406829,1796,1659,3972,817700
30775,6739,2721,5115,136,1274,44643,744,120723,86296,1400,1144,982,786820
31738,5482,9257,2761,117,921,16503,1546,6681,480123,516,1186,264,824500
4463,18668,6275,5152,15,1575,20217,1705,90159,120768,875,1718,3801,723200
4925,14464,10179,2219,81,836,97467,383,61315,173417,215,1467,2557,735320
4987,1500,1090,7042,117,699,91709,510,37042,295425,1056,1986,756,779060
5199,9104,6727,5973,109,92,75522,1030,112032,387337,614,1498,1692,768080
6560,1878,8336,5842,87,514,79023,1230,79439,378875,482,1391,3720,812880
7160,16569,7413,1832,58,440,38243,1903,118136,117973,1905,1695,2630,802920
7453,3107,2923,4077,84,315,69069,1967,44916,60442,389,1474,3147,776860
8130,16208,12508,7973,99,734,117443,1376,49864,473960,911,1994,2033,808820
9191,15929,2774,6700,44,1675,105616,1325,85532,425443,1976,1193,3561,746220
9665,11382,4672,264,38,1075,99740,1473,32677,19261,1434,1255,505,826000
